QuestionID;Type;Question;Choix;Réponse;Thème;RéférenceCours;MotCléRecherchePDF;Leçon;PagePDF;TexteRecherchePDF
"98";"QCM";"Quels services cloud sont cités dans le cours ?";"Google Drive.|OneDrive.|iCloud.";"Google Drive.|OneDrive.";"Divers & Maintenance PC";"LES MESURES DE SÉCURITÉ À ADOPTER";"cloud cités";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"cloud cités"
"99";"Compléter";"Le concurrent direct de Google Drive cité est __________.";"";"OneDrive";"Divers & Maintenance PC";"LES MESURES DE SÉCURITÉ À ADOPTER";"concurrent Drive";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"concurrent Drive"
"100";"VraiFaux";"Les logiciels installables sont-ils souvent propriétaires et payants ?";"";"Vrai";"Divers & Maintenance PC";"Leçon 024 — Logiciels open source";"propriétaires payants";"Leçon 024 — Logiciels open source";"32";"propriétaires payants"
"101";"VraiFaux";"Comme vu dans la Leçon 044 — Macrium Reflect, cet outil permet de sauvegarder l’intégralité du système Windows.";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 044 — Macrium Reflect";"sauvegarde système Macrium";"Leçon 044 — Macrium Reflect";"72";"sauvegarde système Macrium"
"102";"Compléter";"Selon la Leçon 042 — Créer un mot de passe, un mot de passe sûr doit contenir des lettres, des chiffres et des ________.";"";"symboles";"Sécurité & Sauvegarde";"Leçon 042 — Créer un mot de passe";"mot de passe symboles";"Leçon 042 — Créer un mot de passe";"70";"mot de passe symboles"
"103";"QCM";"Comme vu dans la Leçon 043 — Réseaux sociaux, quelles informations ne doivent jamais être publiées ?";"L’adresse du domicile.|Les numéros de cartes bancaires.|Les mots de passe.|Le prénom du chat.";"L’adresse du domicile.|Les numéros de cartes bancaires.|Les mots de passe.";"Sécurité & Sauvegarde";"Leçon 043 — Réseaux sociaux";"risques réseaux sociaux";"Leçon 043 — Réseaux sociaux";"71";"risques réseaux sociaux"
"104";"VraiFaux";"Comme vu dans la Leçon 040 — Keep, Google Keep permet de prendre des notes et listes depuis un smartphone.";"";"Vrai";"IA & Outils modernes";"Leçon 040 — Keep";"Keep prise notes smartphone";"Leçon 040 — Keep";"61";"Keep prise notes smartphone"
"105";"QCM";"Selon la Leçon 041 — Proton Pass, quel avantage apporte un coffre-fort numérique pour les mots de passe ?";"Stockage sécurisé.|Génération de mots de passe.|Partage illimité sur réseaux sociaux.|Remplacement des antivirus.";"Stockage sécurisé.|Génération de mots de passe.";"Sécurité & Sauvegarde";"Leçon 041 — Proton Pass";"avantages Proton Pass";"Leçon 041 — Proton Pass";"63";"avantages Proton Pass"
"106";"Compléter";"Comme expliqué dans la Leçon 020-021 — Recherche Windows, pour afficher tous les fichiers on peut utiliser le symbole ______.";"";"*";"Windows 11 & Fichiers";"Leçon 020 — Les différentes méthodes de recherche";"joker étoile";"Leçon 020 — Les différentes méthodes de recherche";"25";"joker étoile"
"107";"VraiFaux";"Comme vu dans la Leçon 035 — Google Drive & Docs, l’accès aux documents est possible depuis n’importe quel appareil connecté.";"";"Vrai";"Logiciels & Bureautique";"Leçon 035 — Google Drive & Docs";"documents cloud accessibles";"Leçon 035 — Google Drive & Docs";"47";"documents cloud accessibles"
"108";"QCM";"Comme rappelé dans la Leçon 008 — Copier/Coller, quelles méthodes permettent de copier dans Windows ?";"Ctrl+C.|Clic droit Copier.|Ctrl+X.|Ctrl+S.";"Ctrl+C.|Clic droit Copier.";"Windows 11 & Fichiers";"Leçon 008 — Copier/Coller";"méthodes copier";"Leçon 008 — Copier/Coller";"15";"méthodes copier"
"109";"Compléter";"D’après la Leçon 044 — Macrium Reflect, une sauvegarde doit être effectuée au moins tous les ______ mois.";"";"3";"Sécurité & Sauvegarde";"Leçon 044 — Macrium Reflect";"sauvegarde trimestrielle";"Leçon 044 — Macrium Reflect";"38";"sauvegarde trimestrielle"
"110";"VraiFaux";"Comme vu dans la Leçon 042 — Créer un mot de passe, utiliser uniquement un prénom est une méthode sécurisée.";"";"Faux";"Sécurité & Sauvegarde";"Leçon 042 — Créer un mot de passe";"prénom mot de passe";"Leçon 042 — Créer un mot de passe";"70";"prénom mot de passe"
"111";"QCM";"Comme vu dans la Leçon 037 — Photoshop, quel raccourci permet d’enregistrer rapidement ?";"Ctrl+S.|Ctrl+A.|Ctrl+Alt+Suppr.|Alt+S.";"Ctrl+S.";"Multimédia & Création";"Leçon 037 — Photoshop";"raccourci sauvegarde Photoshop";"Leçon 037 — Photoshop";"51";"raccourci sauvegarde Photoshop"
"112";"Compléter";"Selon la Leçon 039 — Gmail, avant d’envoyer un e-mail il faut vérifier l’adresse du __________.";"";"destinataire";"Internet & Gmail";"Leçon 039 — Gmail";"vérifier destinataire";"Leçon 039 — Gmail";"59";"vérifier destinataire"
"113";"QCM";"Comme vu dans la Leçon 025 — Logiciels portables, où se trouvent les applications portables installées sur le PC ?";"C:\USB-(PORTABLE-APPS)\PortableApps.|Clé USB.|Bureau.|Téléchargements.";"C:\USB-(PORTABLE-APPS)\PortableApps.|Clé USB.";"Logiciels & Bureautique";"Leçon 025 — Logiciels portables";"emplacement PortableApps";"Leçon 025 — Logiciels portables";"32";"emplacement PortableApps"
"114";"VraiFaux";"D’après la Leçon 041 — Proton Pass, un mot de passe peut être partagé librement avec n’importe qui.";"";"Faux";"Sécurité & Sauvegarde";"Leçon 041 — Proton Pass";"ne pas partager mot de passe";"Leçon 041 — Proton Pass";"63";"ne pas partager mot de passe"
"115";"Compléter";"Comme indiqué dans la Leçon 040 — Keep, l’application Keep est idéale pour créer des ________ de courses.";"";"listes";"IA & Outils modernes";"Leçon 040 — Keep";"Keep listes courses";"Leçon 040 — Keep";"61";"Keep listes courses"
"116";"QCM";"Selon la Leçon 044 — Macrium Reflect, que peut-on faire avec une sauvegarde système ?";"Restaurer Windows.|Récupérer ses fichiers.|Changer le fond d’écran.|Éviter les virus.";"Restaurer Windows.|Récupérer ses fichiers.";"Sécurité & Sauvegarde";"Leçon 044 — Macrium Reflect";"restauration système";"Leçon 044 — Macrium Reflect";"72";"restauration système"
"117";"VraiFaux";"Comme vu dans la Leçon 043 — Réseaux sociaux, publier une photo de votre maison peut attirer des risques.";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 043 — Réseaux sociaux";"photo maison risques";"Leçon 043 — Réseaux sociaux";"71";"photo maison risques"
"118";"QCM";"Selon la Leçon 020-021 — Recherche Windows, quels mots-clés (en anglais) peuvent filtrer une recherche ?";"size.|type.|author.|fromage.";"size.|type.|author.";"Windows 11 & Fichiers";"Leçon 020-021 — Recherche Windows";"mots clés anglais recherche";"Leçon 020-021 — Recherche Windows";"26";"mots clés anglais recherche"
"119";"Compléter";"Comme mentionné dans la Leçon 035 — Google Drive & Docs, Mon Drive correspond à la ______ du stockage.";"";"racine";"Logiciels & Bureautique";"Leçon 035 — Google Drive & Docs";"racine Drive";"Leçon 035 — Google Drive & Docs";"47";"racine Drive"
"120";"VraiFaux";"Selon la Leçon 042 — Créer un mot de passe, un mot de passe long est plus difficile à deviner.";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 042 — Créer un mot de passe";"longueur mot de passe";"Leçon 042 — Créer un mot de passe";"70";"longueur mot de passe"
"121";"QCM";"Comme vu dans la Leçon 041 — Proton Pass, quelles informations peut-on stocker dans un coffre-fort numérique ?";"Mots de passe.|Cartes bancaires.|Notes privées.|Photos publiques.";"Mots de passe.|Cartes bancaires.|Notes privées.";"Sécurité & Sauvegarde";"Leçon 041 — Proton Pass";"Proton Pass stockage informations";"Leçon 041 — Proton Pass";"63";"Proton Pass stockage informations"
"122";"VraiFaux";"Comme vu dans la Leçon 044 — Macrium Reflect, il est possible de restaurer le système Windows après un problème grave.";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 044 — Macrium Reflect";"restaurer système";"Leçon 044 — Macrium Reflect";"72";"restaurer système"
"123";"Compléter";"Selon la Leçon 043 — Réseaux sociaux, il ne faut jamais publier son numéro de ________.";"";"téléphone";"Sécurité & Sauvegarde";"Leçon 043 — Réseaux sociaux";"ne pas publier téléphone";"Leçon 043 — Réseaux sociaux";"71";"ne pas publier téléphone"
"124";"QCM";"Comme rappelé dans la Leçon 037 — Photoshop, quels fichiers sont compatibles lors d’une exportation ?";".jpg.|.png.|.pdf.|.psd.";".jpg.|.png.|.pdf.";"Multimédia & Création";"Leçon 037 — Photoshop";"export Photoshop";"Leçon 037 — Photoshop";"52";"export Photoshop"
"125";"VraiFaux";"Comme vu dans la Leçon 026 — LibreOffice Writer, l’extension .odt est le format natif de Writer.";"";"Vrai";"Logiciels & Bureautique";"Leçon 026 — LibreOffice Writer";"extension odt";"Leçon 026 — LibreOffice Writer";"34";"extension odt"
"126";"Compléter";"Selon la Leçon 042 — Créer un mot de passe, il faut éviter les mots liés à sa ________ personnelle.";"";"vie";"Sécurité & Sauvegarde";"Leçon 042 — Créer un mot de passe";"vie personnelle mot de passe";"Leçon 042 — Créer un mot de passe";"70";"vie personnelle mot de passe"
"127";"QCM";"Comme vu dans la Leçon 035 — Google Drive & Docs, quels sont les avantages du stockage cloud ?";"Accès partout.|Sauvegarde automatique.|Partage sécurisé.|Stockage irréversible.";"Accès partout.|Sauvegarde automatique.|Partage sécurisé.";"Logiciels & Bureautique";"Leçon 035 — Google Drive & Docs";"avantages cloud";"Leçon 035 — Google Drive & Docs";"77";"avantages cloud"
"128";"VraiFaux";"Selon la Leçon 008 — Copier/Coller, la combinaison Ctrl+X permet de couper un élément.";"";"Vrai";"Windows 11 & Fichiers";"Leçon 008 — Copier/Coller";"raccourci couper CtrlX";"Leçon 008 — Copier/Coller";"15";"raccourci couper CtrlX"
"129";"Compléter";"Comme vu dans la Leçon 025 — Logiciels portables, les applications ne s’installent pas dans ______\\Program Files.";"";"C:";"Logiciels & Bureautique";"Leçon 025 — Logiciels portables";"portable pas Program Files";"Leçon 025 — Logiciels portables";"32";"portable pas Program Files"
"130";"QCM";"Selon la Leçon 042 — Créer un mot de passe, qu’est-ce qui rend un mot de passe plus difficile à deviner ?";"Longueur.|Symboles.|Année de naissance.|Majuscules.";"Longueur.|Symboles.|Majuscules.";"Sécurité & Sauvegarde";"Leçon 042 — Créer un mot de passe";"mot de passe complexité";"Leçon 042 — Créer un mot de passe";"70";"mot de passe complexité"
"131";"VraiFaux";"Comme vu dans la Leçon 043 — Réseaux sociaux, une photo personnelle peut révéler des informations involontaires.";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 043 — Réseaux sociaux";"photo informations risque";"Leçon 043 — Réseaux sociaux";"71";"photo informations risque"
"132";"QCM";"Selon la Leçon 041 — Proton Pass, qu’apporte la génération automatique de mots de passe ?";"Plus difficile à deviner.|Sécurité renforcée.|Identiques pour tous les sites.|Pas besoin de sauvegarde.";"Plus difficile à deviner.|Sécurité renforcée.";"Sécurité & Sauvegarde";"Leçon 041 — Proton Pass";"génération automatique mot passe";"Leçon 041 — Proton Pass";"68";"génération automatique mot passe"
"133";"Compléter";"Comme mentionné dans la Leçon 044 — Macrium Reflect, la sauvegarde doit être stockée sur un support ______.";"";"externe";"Sécurité & Sauvegarde";"Leçon 044 — Macrium Reflect";"sauvegarde support externe";"Leçon 044 — Macrium Reflect";"72";"sauvegarde support externe"
"134";"VraiFaux";"Selon la Leçon 040 — Keep, Keep permet de retrouver ses notes sur PC et smartphone grâce au cloud.";"";"Vrai";"IA & Outils modernes";"Leçon 040 — Keep";"Keep synchronisation cloud";"Leçon 040 — Keep";"61";"Keep synchronisation cloud"
"135";"QCM";"Comme vu dans la Leçon 039 — Gmail, que faut-il vérifier avant l’envoi d’un e-mail ?";"Destinataire.|Objet.|Pièce jointe.|La police fantaisie.";"Destinataire.|Objet.|Pièce jointe.";"Internet & Gmail";"Leçon 039 — Gmail";"vérifications envoi mail";"Leçon 039 — Gmail";"60";"vérifications envoi mail"
"136";"Compléter";"Selon la Leçon 042 — Créer un mot de passe, il est conseillé de remplacer les lettres par des ________.";"";"chiffres";"Sécurité & Sauvegarde";"Leçon 042 — Créer un mot de passe";"remplacer lettres chiffres";"Leçon 042 — Créer un mot de passe";"70";"remplacer lettres chiffres"
"137";"VraiFaux";"Comme rappelé dans la Leçon 020-021 — Recherche Windows, la recherche peut filtrer par taille ou type.";"";"Vrai";"Windows 11 & Fichiers";"Leçon 020-021 — Recherche Windows";"recherche filtre type taille";"Leçon 020-021 — Recherche Windows";"25";"recherche filtre type taille"
"138";"QCM";"Selon la Leçon 037 — Photoshop, quel fichier est le format natif de travail dans Photoshop ?";".psd.|.pdf.|.jpg.|.png.";".psd.";"Multimédia & Création";"Leçon 037 — Photoshop";"format natif psd";"Leçon 037 — Photoshop";"51";"format natif psd"
"139";"Compléter";"Comme vu dans la Leçon 044 — Macrium Reflect, Macrium permet de créer une ______ du système.";"";"image";"Sécurité & Sauvegarde";"Leçon 044 — Macrium Reflect";"image système";"Leçon 044 — Macrium Reflect";"73";"image système"
"140";"VraiFaux";"Comme vu dans la Leçon 041 — Proton Pass, un coffre-fort numérique peut mémoriser plusieurs comptes.";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 041 — Proton Pass";"coffre contient plusieurs comptes";"Leçon 041 — Proton Pass";"63";"coffre contient plusieurs comptes"
"141";"QCM";"Selon la Leçon 043 — Réseaux sociaux, quels risques sont liés au fait de publier ses déplacements ?";"Cambrioleurs.|Usurpation.|Publicité.|Perte de données.";"Cambrioleurs.|Usurpation.";"Sécurité & Sauvegarde";"Leçon 043 — Réseaux sociaux";"publier déplacements risques";"Leçon 043 — Réseaux sociaux";"71";"publier déplacements risques"
"142";"Compléter";"Comme vu dans la Leçon 040 — Keep, Keep peut être utilisé pour recopier des ________.";"";"codes";"IA & Outils modernes";"Leçon 040 — Keep";"Keep copier codes";"Leçon 040 — Keep";"61";"Keep copier codes"
"143";"VraiFaux";"Selon la Leçon 042 — Créer un mot de passe, un mot de passe unique pour chaque site améliore la sécurité.";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 042 — Créer un mot de passe";"mot passe unique";"Leçon 042 — Créer un mot de passe";"70";"mot passe unique"
"144";"QCM";"Comme vu dans la Leçon 025 — Logiciels portables, quels avantages présentent les applis portables ?";"Pas d’installation.|Utilisables sur plusieurs PC.|Accélèrent internet.|Transport sur clé USB.";"Pas d’installation.|Utilisables sur plusieurs PC.|Transport sur clé USB.";"Logiciels & Bureautique";"Leçon 025 — Logiciels portables";"avantages logiciels portables";"Leçon 025 — Logiciels portables";"32";"avantages logiciels portables"
"145";"Compléter";"Selon la Leçon 039 — Gmail, pour retrouver automatiquement un contact il suffit d’écrire les premières ________.";"";"lettres";"Internet & Gmail";"Leçon 039 — Gmail";"autocomplete Gmail";"Leçon 039 — Gmail";"59";"autocomplete Gmail"
"146";"VraiFaux";"Comme vu dans la Leçon 041 — Proton Pass, un mot de passe mémorisé dans Proton Pass est synchronisé sur plusieurs appareils.";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 041 — Proton Pass";"Proton Pass synchronisation";"Leçon 041 — Proton Pass";"67";"Proton Pass synchronisation"
"147";"QCM";"Selon la Leçon 044 — Macrium Reflect, pourquoi prévoir plusieurs sauvegardes ?";"Sécurité.|Panne.|Perte PC.|Changer l’arrière-plan.";"Sécurité.|Panne.|Perte PC.";"Sécurité & Sauvegarde";"Leçon 044 — Macrium Reflect";"plusieurs sauvegardes raison";"Leçon 044 — Macrium Reflect";"72";"plusieurs sauvegardes raison"
"148";"Compléter";"Comme indiqué dans la Leçon 043 — Réseaux sociaux, les réseaux sociaux ne sont pas un journal ________.";"";"intime";"Sécurité & Sauvegarde";"Leçon 043 — Réseaux sociaux";"réseaux pas intime";"Leçon 043 — Réseaux sociaux";"71";"réseaux pas intime"
"149";"VraiFaux";"Comme vu dans la Leçon 035 — Google Drive & Docs, un document partagé peut limiter les accès.";"";"Vrai";"Logiciels & Bureautique";"Leçon 035 — Google Drive & Docs";"Drive partage droits";"Leçon 035 — Google Drive & Docs";"79";"Drive partage droits"
"150";"QCM";"Selon la Leçon 042 — Créer un mot de passe, quelles méthodes permettent d’augmenter la sécurité ?";"Majuscules.|Symboles.|Date de naissance.|Longueur.";"Majuscules.|Symboles.|Longueur.";"Sécurité & Sauvegarde";"Leçon 042 — Créer un mot de passe";"méthodes sécurité mot passe";"Leçon 042 — Créer un mot de passe";"70";"méthodes sécurité mot passe"
"151";"QCM";"Comme vu dans la Leçon 044 — Macrium Reflect, dans quel cas la sauvegarde système est-elle indispensable ?";"Panne du disque.|Virus rendant Windows inutilisable.|Perte ou vol de l’ordinateur.|Changer de fond d’écran.";"Panne du disque.|Virus rendant Windows inutilisable.|Perte ou vol de l’ordinateur.";"Sécurité & Sauvegarde";"Leçon 044 — Macrium Reflect";"sauvegarde indispensable";"Leçon 044 — Macrium Reflect";"72";"sauvegarde indispensable"
"152";"VraiFaux";"Comme expliqué dans la Leçon 041 — Proton Pass, réutiliser le même mot de passe sur plusieurs sites augmente fortement les risques d’intrusion.";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 041 — Proton Pass";"risques réutilisation mot de passe";"Leçon 041 — Proton Pass";"63";"risques réutilisation mot de passe"
"153";"Compléter";"Comme vu dans la Leçon 042 — Créer un mot de passe, pour un mot de passe robuste il est recommandé d’utiliser au minimum ______ caractères.";"";"12";"Sécurité & Sauvegarde";"Leçon 042 — Créer un mot de passe";"mot de passe 12 caractères";"Leçon 042 — Créer un mot de passe";"70";"mot de passe 12 caractères"
"154";"QCM";"Selon la Leçon 040 — Keep, pourquoi Keep est-il utile lorsque l’on travaille sur PC et smartphone ?";"Synchronisation.|Notes disponibles partout.|Sauvegarde cloud.|Génère des mots de passe.";"Synchronisation.|Notes disponibles partout.|Sauvegarde cloud.";"IA & Outils modernes";"Leçon 040 — Keep";"Keep utilité multifonction";"Leçon 040 — Keep";"61";"Keep utilité multifonction"
"155";"VraiFaux";"Comme vu dans la Leçon 043 — Réseaux sociaux, publier son absence (vacances) peut attirer des risques physiques.";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 043 — Réseaux sociaux";"absence risque cambriolage";"Leçon 043 — Réseaux sociaux";"71";"absence risque cambriolage"
"156";"Compléter";"Selon la Leçon 035 — Google Drive & Docs, un document partagé peut définir trois niveaux : Lecture, ________ ou Modification.";"";"Commentaire";"Logiciels & Bureautique";"Leçon 035 — Google Drive & Docs";"droits partage";"Leçon 035 — Google Drive & Docs";"79";"droits partage"
"157";"QCM";"Comme rappelé dans la Leçon 020-021 — Recherche Windows, pourquoi utiliser Everything ou la recherche avancée ?";"Gagner du temps.|Retrouver des fichiers perdus.|Éviter de parcourir tout l’ordinateur.|Accélérer la connexion internet.";"Gagner du temps.|Retrouver des fichiers perdus.|Éviter de parcourir tout l’ordinateur.";"Windows 11 & Fichiers";"Leçon 020-021 — Recherche Windows";"recherche optimiser temps";"Leçon 020-021 — Recherche Windows";"28";"recherche optimiser temps"
"158";"VraiFaux";"Comme vu dans la Leçon 025 — Logiciels portables, ces logiciels peuvent être emportés sur une clé USB et utilisés ailleurs.";"";"Vrai";"Logiciels & Bureautique";"Leçon 025 — Logiciels portables";"portable mobilité";"Leçon 025 — Logiciels portables";"32";"portable mobilité"
"159";"Compléter";"Selon la Leçon 039 — Gmail, il est conseillé d’utiliser un objet ______ pour comprendre le contenu du mail avant ouverture.";"";"clair";"Internet & Gmail";"Leçon 039 — Gmail";"objet clair mail";"Leçon 039 — Gmail";"60";"objet clair mail"
"160";"QCM";"Comme vu dans la Leçon 042 — Créer un mot de passe, quelles pratiques améliorent la sécurité ?";"Ne pas utiliser de dates.|Utiliser des symboles.|Combiner majuscules et minuscules.|Mettre son prénom.";"Ne pas utiliser de dates.|Utiliser des symboles.|Combiner majuscules et minuscules.";"Sécurité & Sauvegarde";"Leçon 042 — Créer un mot de passe";"pratique sécuriser mot passe";"Leçon 042 — Créer un mot de passe";"70";"pratique sécuriser mot passe"
"161";"VraiFaux";"Selon la Leçon 044 — Macrium Reflect, une sauvegarde locale sur le même disque protège contre un vol ou un incendie.";"";"Faux";"Sécurité & Sauvegarde";"Leçon 044 — Macrium Reflect";"sauvegarde locale insuffisante";"Leçon 044 — Macrium Reflect";"72";"sauvegarde locale insuffisante"
"162";"Compléter";"Comme vu dans la Leçon 041 — Proton Pass, le stockage des mots de passe est chiffré, ce qui signifie qu’il est ________.";"";"protégé";"Sécurité & Sauvegarde";"Leçon 041 — Proton Pass";"chiffrement sécurité";"Leçon 041 — Proton Pass";"64";"chiffrement sécurité"
"163";"QCM";"Comme rappelé dans la Leçon 043 — Réseaux sociaux, quelles publications peuvent être détournées par des personnes malveillantes ?";"Photos.|Localisations.|Informations de santé.|Recettes de cuisine.";"Photos.|Localisations.|Informations de santé.";"Sécurité & Sauvegarde";"Leçon 043 — Réseaux sociaux";"publications détournement risque";"Leçon 043 — Réseaux sociaux";"71";"publications détournement risque"
"164";"VraiFaux";"Selon la Leçon 040 — Keep, Keep peut aussi servir de pense-bête pour des codes temporaires.";"";"Vrai";"IA & Outils modernes";"Leçon 040 — Keep";"Keep pense bête";"Leçon 040 — Keep";"61";"Keep pense bête"
"165";"Compléter";"Comme vu dans la Leçon 020-021 — Recherche Windows, utiliser un terme précis évite un grand nombre de ________ inutiles.";"";"résultats";"Windows 11 & Fichiers";"Leçon 020-021 — Recherche Windows";"termes précis résultats";"Leçon 020-021 — Recherche Windows";"28";"termes précis résultats"
"166";"QCM";"Selon la Leçon 035 — Google Drive & Docs, quels avantages offre le partage via Drive plutôt que par pièce jointe ?";"Moins de virus.|Version unique partagée.|Accès depuis smartphone.|Fichier plus lourd.";"Moins de virus.|Version unique partagée.|Accès depuis smartphone.";"Logiciels & Bureautique";"Leçon 045 — Partager un document";"partage Drive avantages";"Leçon 045 — Partager un document";"77";"partage Drive avantages"
"167";"VraiFaux";"Comme vu dans la Leçon 025 — Logiciels portables, un logiciel portable peut fonctionner sans installation sur le PC.";"";"Vrai";"Logiciels & Bureautique";"Leçon 025 — Logiciels portables";"pas installation portable";"Leçon 025 — Logiciels portables";"32";"pas installation portable"
"168";"Compléter";"Selon la Leçon 039 — Gmail, l’ajout au carnet d’adresses permet une ________ plus rapide.";"";"recherche";"Internet & Gmail";"Leçon 039 — Gmail";"recherche contact rapide";"Leçon 039 — Gmail";"59";"recherche contact rapide"
"169";"QCM";"Comme vu dans la Leçon 042 — Créer un mot de passe, pourquoi est-il important de ne jamais utiliser le même mot de passe ?";"Fuite de données.|Piratage en cascade.|Spam automatique.|Réparer Windows.";"Fuite de données.|Piratage en cascade.";"Sécurité & Sauvegarde";"Leçon 042 — Créer un mot de passe";"mot passe cascade risque";"Leçon 042 — Créer un mot de passe";"70";"mot passe cascade risque"
"170";"VraiFaux";"Selon la Leçon 044 — Macrium Reflect, une image système permet de retrouver Windows tel qu’il était avant le problème.";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 044 — Macrium Reflect";"image système restauration";"Leçon 044 — Macrium Reflect";"73";"image système restauration"
"171";"Compléter";"Comme vu dans la Leçon 041 — Proton Pass, Proton Pass peut générer un mot de passe ______ impossible à deviner.";"";"aléatoire";"Sécurité & Sauvegarde";"Leçon 041 — Proton Pass";"mot passe aleatoire";"Leçon 041 — Proton Pass";"68";"mot passe aleatoire"
"172";"QCM";"Selon la Leçon 043 — Réseaux sociaux, quelles informations personnelles peuvent faciliter l’usurpation d’identité ?";"Nom complet.|Date de naissance.|Adresse.|Recette de gâteau.";"Nom complet.|Date de naissance.|Adresse.";"Sécurité & Sauvegarde";"Leçon 043 — Réseaux sociaux";"usurpation identité réseaux";"Leçon 043 — Réseaux sociaux";"71";"usurpation identité réseaux"
"173";"VraiFaux";"Comme rappelé dans la Leçon 035 — Google Drive & Docs, le document partagé reste modifiable même si celui-ci a été déplacé dans Drive.";"";"Vrai";"Logiciels & Bureautique";"Leçon 035 — Google Drive & Docs";"modification partage";"Leçon 035 — Google Drive & Docs";"81";"modification partage"
"174";"Compléter";"Selon la Leçon 040 — Keep, Keep est particulièrement utile pour noter rapidement une ________ à ne pas oublier.";"";"information";"IA & Outils modernes";"Leçon 040 — Keep";"Keep noter info";"Leçon 040 — Keep";"61";"Keep noter info"
"175";"QCM";"Comme vu dans la Leçon 020-021 — Recherche Windows, lorsque l’on recherche un fichier dont on ignore le nom, que peut-on faire ?";"Rechercher par extension.|Utiliser des mots-clés.|Filtrer par taille.|Changer de fond d’écran.";"Rechercher par extension.|Utiliser des mots-clés.|Filtrer par taille.";"Windows 11 & Fichiers";"Leçon 020-021 — Recherche Windows";"astuce recherche fichier inconnu";"Leçon 020-021 — Recherche Windows";"28";"astuce recherche fichier inconnu"
"176";"VraiFaux";"Comme vu dans la Leçon 042 — Créer un mot de passe, remplacer certaines lettres par des chiffres rend un mot de passe plus difficile à deviner.";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 042 — Créer un mot de passe";"remplacer lettres chiffres sécurité";"Leçon 042 — Créer un mot de passe";"70";"remplacer lettres chiffres sécurité"
"177";"QCM";"Selon la Leçon 039 — Gmail, quelles bonnes pratiques permettent d’éviter les erreurs lors de l’envoi d’un e-mail ?";"Relire avant d’envoyer.|Vérifier le destinataire.|Ajouter une pièce jointe.|Utiliser uniquement les réponses automatiques.";"Relire avant d’envoyer.|Vérifier le destinataire.|Ajouter une pièce jointe.";"Internet & Gmail";"Leçon 039 — Gmail";"bonnes pratiques envoi mail";"Leçon 039 — Gmail";"60";"bonnes pratiques envoi mail"
"178";"Compléter";"Comme vu dans la Leçon 041 — Proton Pass, Proton Pass synchronise vos mots de passe sur ______ appareils.";"";"plusieurs";"Sécurité & Sauvegarde";"Leçon 041 — Proton Pass";"synchronisation plusieurs appareils";"Leçon 041 — Proton Pass";"67";"synchronisation plusieurs appareils"
"179";"VraiFaux";"Selon la Leçon 044 — Macrium Reflect, l’image système sauvegarde uniquement les photos.";"";"Faux";"Sécurité & Sauvegarde";"Leçon 044 — Macrium Reflect";"image système complet";"Leçon 044 — Macrium Reflect";"73";"image système complet"
"180";"QCM";"Comme vu dans la Leçon 043 — Réseaux sociaux, quels comportements augmentent les risques en ligne ?";"Publier ses habitudes.|Partager sa géolocalisation.|Écrire ses opinions.|Utiliser des surnoms.";"Publier ses habitudes.|Partager sa géolocalisation.";"Sécurité & Sauvegarde";"Leçon 043 — Réseaux sociaux";"risques comportements réseaux";"Leçon 043 — Réseaux sociaux";"71";"risques comportements réseaux"
"181";"Compléter";"Selon la Leçon 040 — Keep, l’application Keep permet d’écrire mais aussi d’ajouter des ________.";"";"photos";"IA & Outils modernes";"Leçon 040 — Keep";"Keep ajouter photos";"Leçon 040 — Keep";"61";"Keep ajouter photos"
"182";"VraiFaux";"Comme rappelé dans la Leçon 020-021 — Recherche Windows, filtrer par taille peut aider à retrouver un fichier volumineux.";"";"Vrai";"Windows 11 & Fichiers";"Leçon 020-021 — Recherche Windows";"filtrer taille utile";"Leçon 020-021 — Recherche Windows";"28";"filtrer taille utile"
"183";"QCM";"Selon la Leçon 035 — Google Drive & Docs, quel est l’avantage d’une version partagée unique ?";"Évite les doublons.|Travail collaboratif.|Version unique à jour.|Modification automatique du PC.";"Évite les doublons.|Travail collaboratif.|Version unique à jour.";"Logiciels & Bureautique";"Leçon 035 — Google Drive & Docs";"avantage version unique Drive";"Leçon 035 — Google Drive & Docs";"77";"avantage version unique Drive"
"184";"Compléter";"Comme vu dans la Leçon 025 — Logiciels portables, un logiciel portable peut se lancer depuis une ______ USB.";"";"clé";"Logiciels & Bureautique";"Leçon 025 — Logiciels portables";"se lancer clé USB";"Leçon 025 — Logiciels portables";"32";"se lancer clé USB"
